stat_id,stat_name,lon,lat,vs30
118,INGS,171.952499,-41.857101,292.000000
119,INHS,174.190506,-39.156200,303.000000
120,INSS,174.921097,-41.233501,451.000000
121,INZ,171.444107,-42.724499,270.000000
122,JCWJ,168.611801,-43.972301,384.000000
123,JCZ,168.785507,-44.073200,615.000000
124,KAFS,176.709305,-38.083500,225.000000
125,KAPS,174.703705,-36.822300,494.000000
126,KARS,172.116501,-41.249401,228.000000
127,KEKS,173.981400,-41.955700,494.000000
128,KFHS,176.466995,-39.433399,384.000000
129,KHLS,172.611893,-40.556999,494.000000
130,KHZ,173.539001,-42.416000,296.000000
131,KIKS,173.682098,-42.425800,600.000000
132,KILS,172.640594,-43.526901,192.000000
133,KIRS,175.229996,-41.076900,287.000000
134,KLDS,172.875000,-41.673100,231.000000
135,KNZ,177.673706,-39.021801,499.000000
136,KOKS,171.135605,-42.891701,235.000000
137,KOWC,171.854797,-43.321499,244.000000
138,KPOC,172.663803,-43.376499,257.000000
139,KUZ,175.720901,-36.745201,384.000000
140,KVSD,172.277695,-43.585400,231.000000
141,LBZ,170.184402,-44.385601,384.000000
142,LCQC,172.729706,-43.608601,195.000000
143,LHBS,174.892303,-41.196602,504.000000
144,LHES,174.903305,-41.211700,249.000000
145,LHRS,174.893204,-41.204700,498.000000
146,LHUS,174.893600,-41.230801,195.000000
147,LINC,172.468002,-43.623199,292.000000
148,LIRS,174.919296,-41.232300,337.000000
149,LNBS,174.926605,-41.205002,309.000000
150,LPCC,172.724792,-43.607800,792.000000
151,LPLS,169.423096,-43.714699,195.000000
152,LPOC,172.714798,-43.608398,195.000000
153,LRSC,171.793594,-43.729401,229.000000
154,LRSS,174.904205,-41.229401,251.000000
155,LSRC,172.543304,-42.869499,368.000000
156,LTZ,172.270996,-42.781700,370.000000
157,MAGS,174.725998,-36.885300,332.000000
158,MANS,167.278107,-45.521198,563.000000
159,MATS,172.703705,-41.429001,494.000000
160,MAVS,175.461502,-41.210899,231.000000
161,MAYC,171.421707,-43.823101,231.000000
162,MCAS,172.328003,-41.799900,230.000000
163,MCNS,170.097198,-43.736401,272.000000
164,MCPS,170.095200,-43.733200,272.000000
165,MECS,169.232895,-44.230400,271.000000
166,MENS,172.711502,-43.558498,500.000000
167,MGCS,173.944397,-41.507702,303.000000
168,MISS,174.818405,-41.314899,203.000000
169,MKBS,174.698105,-41.225899,348.000000
170,MKVS,174.705505,-41.265400,269.000000
171,MLZ,168.118393,-45.366501,473.000000
172,MMCS,175.769806,-37.815899,227.000000
173,MNGS,175.790802,-39.807800,326.000000
174,MNZS,172.973801,-43.637402,600.000000
175,MOLS,173.257401,-42.088001,282.000000
176,MORS,172.621399,-43.539501,179.000000
177,MOSS,168.237793,-45.667801,260.000000
178,MOTS,173.009506,-41.124699,229.000000
179,MPSS,172.642303,-43.499401,180.000000
180,MQZ,172.653793,-43.706100,473.000000
181,MRSS,172.559204,-43.511299,227.000000
182,MRZ,175.578506,-40.660500,272.000000
183,MSMC,171.402298,-43.704601,254.000000
184,MSZ,167.926407,-44.673302,500.000000
185,MSZS,167.925507,-44.673000,500.000000
186,MTDS,175.745499,-38.352100,500.000000
187,MTHS,171.666397,-43.563202,284.000000
188,MTHZ,176.841095,-38.852299,499.000000
189,MTPS,172.725601,-43.584702,830.000000
190,MWDS,175.752594,-39.406898,600.000000
191,MWFS,176.668900,-37.859100,494.000000
